category_id,category_name,parent_category_id,full_path
204,ColouringPens&Markers,203,Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers
205,Headsets,120,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets
206,ExternalSolidStateDrives,79,Computers&Accessories|ExternalDevices&DataStorage|ExternalSolidStateDrives
207,PowerLANAdapters,7,Computers&Accessories|NetworkingDevices|NetworkAdapters|PowerLANAdapters
208,InkjetInkRefills&Kits,116,"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkRefills&Kits"
209,PhotoStudio&Lighting,107,Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting
210,PhotoBackgroundAccessories,209,Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories
211,BackgroundSupports,210,Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports
212,Financial&Business,111,OfficeProducts|OfficeElectronics|Calculators|Financial&Business
213,PowerAccessories,9,Electronics|PowerAccessories
214,SurgeProtectors,213,Electronics|PowerAccessories|SurgeProtectors
215,Tablets,1,Computers&Accessories|Tablets
216,CordManagement,174,HomeImprovement|Electrical|CordManagement
217,TonerCartridges,116,"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|TonerCartridges"
218,LiquidInkRollerballPens,97,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens"
219,FountainPens,97,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens"
220,HardDriveAccessories,2,Computers&Accessories|Accessories&Peripherals|HardDriveAccessories
221,Caddies,220,Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies
222,Laptops,1,Computers&Accessories|Laptops
223,TraditionalLaptops,222,Computers&Accessories|Laptops|TraditionalLaptops
224,Kitchen&HomeAppliances,99,Home&Kitchen|Kitchen&HomeAppliances
225,SmallKitchenAppliances,224,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances
226,Kettles&HotWaterDispensers,225,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers
227,ElectricKettles,226,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles
228,"Heating,Cooling&AirQuality",99,"Home&Kitchen|Heating,Cooling&AirQuality"
229,RoomHeaters,228,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters"
230,ElectricHeaters,229,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters"
231,FanHeaters,229,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters"
232,"Vacuum,Cleaning&Ironing",224,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing"
233,"Irons,Steamers&Accessories",232,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories"
234,LintShavers,233,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers"
235,DigitalKitchenScales,225,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales
236,Kitchen&Dining,99,Home&Kitchen|Kitchen&Dining
237,KitchenTools,236,Home&Kitchen|Kitchen&Dining|KitchenTools
238,ManualChoppers&Chippers,237,Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers
239,Choppers,238,Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers
240,InductionCooktop,225,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop
241,HandBlenders,225,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders
242,Irons,233,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons"
243,DryIrons,242,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons"
244,MixerGrinders,225,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders
245,WaterHeaters&Geysers,228,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers"
246,InstantWaterHeaters,245,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters"
247,Kettle&ToasterSets,226,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets
248,StorageWaterHeaters,245,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters"
249,ImmersionRods,245,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods"
250,DeepFatFryers,225,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers
251,AirFryers,250,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers
252,HomeStorage&Organization,99,Home&Kitchen|HomeStorage&Organization
253,LaundryOrganization,252,Home&Kitchen|HomeStorage&Organization|LaundryOrganization
254,LaundryBaskets,253,Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets
255,SteamIrons,242,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons"
256,JuicerMixerGrinders,225,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders
257,Vacuums&FloorCare,232,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare"
258,Vacuums,257,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums"
259,HandheldVacuums,258,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums"
260,EggBoilers,225,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers
261,SandwichMakers,225,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers
262,MiniFoodProcessors&Choppers,225,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers
263,DigitalScales,235,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales
264,VacuumSealers,225,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers
265,Fans,228,"Home&Kitchen|Heating,Cooling&AirQuality|Fans"
266,CeilingFans,265,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans"
267,CanisterVacuums,258,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|CanisterVacuums"
268,"PressureWashers,Steam&WindowCleaners",232,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|PressureWashers,Steam&WindowCleaners"
269,HalogenHeaters,229,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters"
270,Pop-upToasters,225,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters
271,HeatConvectors,229,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors"
272,"Coffee,Tea&Espresso",224,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso"
273,CoffeeGrinders,272,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders"
274,ElectricGrinders,273,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders"
275,ExhaustFans,265,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans"
276,DripCoffeeMachines,272,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines"
277,WaterPurifiers&Accessories,224,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories
278,WaterPurifierAccessories,277,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories
279,WaterCartridges,277,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges
280,Rice&PastaCookers,225,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers
281,Car&Motorbike,,Car&Motorbike
282,CarAccessories,281,Car&Motorbike|CarAccessories
283,InteriorAccessories,282,Car&Motorbike|CarAccessories|InteriorAccessories
284,AirPurifiers&Ionizers,283,Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers
285,Wet-DryVacuums,258,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums"
286,AirPurifiers,228,"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers"
287,HEPAAirPurifiers,286,"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers"
288,WaterFilters&Purifiers,277,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers
289,LaundryBags,253,Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags
